"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"BE2","BE",6639005,1019.31818181818,247039,8.39,9.16363636363636,7.34545454545455,455650,81.9272727272727,954.149090909091,93740,2688.02,19628,27022,4207726,40240,613190,5.74545454545455,19546.9166666667,4517867,39846.725,107.033333333333,0.00681261725213341,0.0440825093519285,51.1013,4.9852
"BE3","BE",3660071,1019.31818181818,149304,8.39,9.16363636363636,7.34545454545455,262282,81.9272727272727,954.149090909091,50194,2336.13,11955,8364,2124909,16440,692570,5.74545454545455,19546.9166666667,2006334.5,39846.725,107.033333333333,0.00648648619111487,0.0778624239802998,50.4595,4.8252
"BG31","BG",728157,39,4809,20,27,0.8,26185,73.7,1998.32,30834,792.68,3299,4001.66666666667,329824,38360,936770,13,1505.46,490433.88,3938.63,115.8,0.00122089054970288,0.02672912572426,43.4201,23.8763
"BG32","BG",773450,53.1,29166,12.7,13.1,1.5,25201,74.6,1753.33,30164,674.11,2595,4001.66666666667,364640,41760,793430,5.7,1843.34,574486.27,4557.31,109.8,0.00127739349667076,0.028376753507014,43.2223,25.593
"BG33","BG",924870,63.7,31718,12.5,14.5,1.4,33664,75,1437.45,20091,536.38,3687,2069,413877,35610,822230,6.1,2478.74,713057.09,6307.94,110.1,0.00215273497897002,0.0288818969152421,43.3648,27.3512
"BG34","BG",1024115,52.5,12986,24.4,21.6,0.7,42482,74.5,1517.16,28186,670.17,3515,2858,445427,46720,845160,4.6,2806.58,782417.86,6818.65,109.3,0.00145003246705692,0.0325227147341851,42.4799,26.5534
"BG41","BG",2094260,103.7,113123,5.2,6.5,2.7,78218,76,1343.42,58119,739.34,9334,7078,1160682,55690,554470,3.6,12668.12,2140683.61,30951.19,118.4,0.00313332633006408,0.0402309168871105,42.3235,23.3357
"BG42","BG",1406630,63.7,37662,15.1,16.8,1.1,51107,75.6,1466.29,54730,824.74,5687,4001.66666666667,625257,102090,698880,3.4,3361.86,1090510.17,8665.82,115.6,0.00194009796463889,0.0251572908298558,41.7421,25.1669
"CY00","CY",888005,95.7,50211,11.5,14.4,4.7,58473,82.3,669.03,7418,311.47,3768,11261,693821,16550,109330,7.6,9910.42,798137.06,22286.88,121.4,0.00235471647119104,0.0358714196429074,35.0284,33.1739
"DE1","DE",11100394,468.660526315789,439955.62866621,11.45,8.225,7.54594594594595,439955.62866621,81.2921052631579,1179.44078947368,172154.322863324,405.276392106162,46043,14477,1390516.36842105,67140,1422460,3.96428571428571,48759.1065789474,1645768.68421053,91403.947631579,106.8,0.00353257731212063,0.0243930080319672,48.5342,9.0509
"DE2","DE",13124737,468.660526315789,520188.915628911,11.45,8.225,7.54594594594595,520188.915628911,81.2921052631579,1179.44078947368,203549.550673086,342.767068877409,59716,53698,1390516.36842105,136570,3136230,3.96428571428571,48759.1065789474,1645768.68421053,91403.947631579,106.8,0.00412092067063896,0.0284254076862645,48.9474,11.4213
"DE3","DE",3669491,4322.9,145437.470038451,10.6,10,10.3,145437.470038451,81.2921052631579,989.21,53254,2074.59052828872,20168,24223,1328836,3180,26740,6.1,80077.13,2854987,154672.63,115.5,0.00285107662070843,0.0316419906739109,52.5005,13.4022
"DE4","DE",2521893,86.7,99953.3007786854,10.8,6.4,4.9,99953.3007786854,81.2921052631579,1303.24,37975,1460.56484865146,9463,11404,1629514,22760,1313810,3.9,36609.46,1623513,74838.1,105.9,0.00148261643138706,0.0280971476585248,53.0836,12.1381
"DE5","DE",681202,1744.5,26998.9204129763,16,9.3,9.4,26998.9204129763,81.2921052631579,1182.98,15649,2440.62625323081,3802,2305,316904,290,8450,5.1,18376.06,588804,33779.44,104,0.00275395550805782,0.0226995810347004,53.1065,8.7877
"DE6","DE",1847253,2597.5,73214.4602183078,13.2,8.3,10,73214.4602183078,81.2921052631579,989.61,33134,3305.86223217086,11808,17274,868090,1890,14440,4.7,59427.63,1808903,124075.6,108.1,0.00322262299749953,0.0237904607544283,53.5392,10.01
